state,timestamp,cases
Niedersachsen,1584576000000,187
Niedersachsen,1584662400000,215
Niedersachsen,1584748800000,27
Nordrhein-Westfalen,1582675200000,3
Nordrhein-Westfalen,1582761600000,18
Nordrhein-Westfalen,1582848000000,32
Nordrhein-Westfalen,1582934400000,14
Nordrhein-Westfalen,1583020800000,22
Nordrhein-Westfalen,1583107200000,15
Nordrhein-Westfalen,1583193600000,28
Nordrhein-Westfalen,1583280000000,78
Nordrhein-Westfalen,1583366400000,86
Nordrhein-Westfalen,1583452800000,49
Nordrhein-Westfalen,1583539200000,65
Nordrhein-Westfalen,1583625600000,20
Nordrhein-Westfalen,1583712000000,77
Nordrhein-Westfalen,1583798400000,157
Nordrhein-Westfalen,1583884800000,185
Nordrhein-Westfalen,1583971200000,264
Nordrhein-Westfalen,1584057600000,372
Nordrhein-Westfalen,1584144000000,295
Nordrhein-Westfalen,1584230400000,215
Nordrhein-Westfalen,1584316800000,535
Nordrhein-Westfalen,1584403200000,634
Nordrhein-Westfalen,1584489600000,377
Nordrhein-Westfalen,1584576000000,3
Nordrhein-Westfalen,1584662400000,1
Rheinland-Pfalz,1582848000000,1
Rheinland-Pfalz,1582934400000,1
Rheinland-Pfalz,1583193600000,1
Rheinland-Pfalz,1583280000000,4
Rheinland-Pfalz,1583366400000,1
Rheinland-Pfalz,1583452800000,2
Rheinland-Pfalz,1583539200000,2
Rheinland-Pfalz,1583625600000,3
Rheinland-Pfalz,1583712000000,7
Rheinland-Pfalz,1583798400000,16
Rheinland-Pfalz,1583884800000,28
Rheinland-Pfalz,1583971200000,58
Rheinland-Pfalz,1584057600000,57
Rheinland-Pfalz,1584144000000,49
Rheinland-Pfalz,1584230400000,95
Rheinland-Pfalz,1584316800000,110
Rheinland-Pfalz,1584403200000,163
Rheinland-Pfalz,1584489600000,156
Rheinland-Pfalz,1584576000000,134
Rheinland-Pfalz,1584662400000,155
Rheinland-Pfalz,1584748800000,10
Saarland,1583625600000,1
Saarland,1583712000000,5
Saarland,1583798400000,2
Saarland,1583884800000,10
Saarland,1583971200000,12
Saarland,1584057600000,10
Saarland,1584144000000,13
Saarland,1584230400000,17
Saarland,1584316800000,17
Saarland,1584403200000,15
Saarland,1584489600000,25
Saarland,1584576000000,30
Saarland,1584662400000,30
Sachsen,1583107200000,1
Sachsen,1583452800000,2
Sachsen,1583539200000,2
Sachsen,1583625600000,5
Sachsen,1583712000000,4
Sachsen,1583798400000,20
Sachsen,1583884800000,13
Sachsen,1583971200000,27
Sachsen,1584057600000,32
Sachsen,1584144000000,29
Sachsen,1584230400000,25
Sachsen,1584316800000,40
Sachsen,1584403200000,80
Sachsen,1584489600000,113
Sachsen,1584576000000,139
Sachsen,1584662400000,74
Sachsen-Anhalt,1583798400000,6
Sachsen-Anhalt,1583884800000,15
Sachsen-Anhalt,1583971200000,14
Sachsen-Anhalt,1584057600000,11
Sachsen-Anhalt,1584144000000,2
Sachsen-Anhalt,1584316800000,35
Sachsen-Anhalt,1584403200000,29
Sachsen-Anhalt,1584489600000,38
Sachsen-Anhalt,1584576000000,39
Sachsen-Anhalt,1584662400000,22
Schleswig-Holstein,1582848000000,1
Schleswig-Holstein,1582934400000,1
Schleswig-Holstein,1583107200000,1
Schleswig-Holstein,1583193600000,1
Schleswig-Holstein,1583366400000,1
Schleswig-Holstein,1583452800000,2
Schleswig-Holstein,1583625600000,1
Schleswig-Holstein,1583712000000,3
Schleswig-Holstein,1583798400000,7
Schleswig-Holstein,1583884800000,18
Schleswig-Holstein,1583971200000,17
Schleswig-Holstein,1584057600000,25
Schleswig-Holstein,1584144000000,24
Schleswig-Holstein,1584230400000,20
Schleswig-Holstein,1584316800000,22
Schleswig-Holstein,1584403200000,39
Schleswig-Holstein,1584489600000,49
Schleswig-Holstein,1584576000000,52
Schleswig-Holstein,1584662400000,44
Schleswig-Holstein,1584748800000,19
Thüringen,1583193600000,1
Thüringen,1583539200000,1
Thüringen,1583798400000,9
Thüringen,1583884800000,1
Thüringen,1583971200000,11
Thüringen,1584057600000,10
Thüringen,1584144000000,16
Thüringen,1584316800000,13
Thüringen,1584403200000,24
Thüringen,1584489600000,29
Thüringen,1584576000000,38
Thüringen,1584662400000,48
Thüringen,1584748800000,15
