id,name,state,cases,deaths,cases per population
06434,Hochtaunuskreis,Hessen,51,0,0.0215586479768688
09175,Ebersberg,Bayern,51,0,0.0358796133444021
05374,Oberbergischer Kreis,Nordrhein-Westfalen,50,0,0.0183505767586275
06435,Main-Kinzig-Kreis,Hessen,50,0,0.0119345984007638
09775,Neu-Ulm,Bayern,50,1,0.0287026406429392
14625,Bautzen,Sachsen,50,0,0.0166179207657538
03355,Lüneburg,Niedersachsen,49,0,0.0267216368911284
07111,Koblenz,Rheinland-Pfalz,49,0,0.0429734091068547
05362,Rhein-Erft-Kreis,Nordrhein-Westfalen,48,0,0.0102108324168402
05378,Rheinisch-Bergischer Kreis,Nordrhein-Westfalen,48,0,0.0169339048526221
09671,Aschaffenburg,Bayern,48,0,0.0275532696546657
06532,Lahn-Dill-Kreis,Hessen,47,0,0.0185201968657522
07339,Mainz-Bingen,Rheinland-Pfalz,47,0,0.0222866057499443
08135,Heidenheim,Baden-Württemberg,47,0,0.0354791956035993
09173,Bad Tölz-Wolfratshausen,Bayern,47,0,0.0369418441054179
09772,Augsburg,Bayern,47,0,0.0186853467125717
09179,Fürstenfeldbruck,Bayern,46,0,0.0209739193871968
09479,Wunsiedel i. Fichtelgebirge,Bayern,46,1,0.0628604225313619
07140,Rhein-Hunsrück-Kreis,Rheinland-Pfalz,45,0,0.0437160593372645
08326,Schwarzwald-Baar-Kreis,Baden-Württemberg,45,0,0.0211883360564269
08426,Biberach,Baden-Württemberg,45,0,0.0225290624906129
09174,Dachau,Bayern,45,0,0.0292428062696577
09177,Erding,Bayern,45,0,0.0326892343454889
03359,Stade,Niedersachsen,44,0,0.0216639914919597
09189,Traunstein,Bayern,44,1,0.0248462637430896
06611,Kassel,Hessen,43,0,0.021330952203785
15002,Halle (Saale),Sachsen-Anhalt,43,0,0.017972305930443
08212,Karlsruhe,Baden-Württemberg,42,0,0.0134145874056188
09273,Kelheim,Bayern,42,0,0.0343535801338154
03460,Vechta,Niedersachsen,41,0,0.0289552112317971
05114,Krefeld,Nordrhein-Westfalen,41,0,0.018060082812087
05358,Düren,Nordrhein-Westfalen,41,0,0.0155466741492936
07135,Cochem-Zell,Rheinland-Pfalz,41,0,0.0665724909477649
09372,Cham,Bayern,41,0,0.0320608060555825
14511,Chemnitz,Sachsen,41,0,0.0165832783927972
14628,Sächsische Schweiz-Osterzgebirge,Sachsen,41,0,0.0166930634214266
06440,Wetteraukreis,Hessen,40,0,0.013052274358807
11011,Berlin Lichtenberg,Berlin,40,0,0.0137243868630169
01002,Kiel,Schleswig-Holstein,39,0,0.0157545203354501
05166,Viersen,Nordrhein-Westfalen,39,0,0.0130463144161774
06633,Kassel,Hessen,39,0,0.0164812177506941
07232,Eifelkreis Bitburg-Prüm,Rheinland-Pfalz,39,0,0.039569403719524
08425,Alb-Donau-Kreis,Baden-Württemberg,39,0,0.0198931888781772
09574,Nürnberger Land,Bayern,39,0,0.0228920259442961
15003,Magdeburg,Sachsen-Anhalt,39,0,0.0163387055555788
05162,Rhein-Kreis Neuss,Nordrhein-Westfalen,38,0,0.00842558984672078
06431,Bergstraße,Hessen,38,0,0.0140900427892352
09761,Augsburg,Bayern,38,0,0.0128754637708167
05124,Wuppertal,Nordrhein-Westfalen,37,0,0.0104407108713196
07131,Ahrweiler,Rheinland-Pfalz,37,0,0.0285214334718293
07133,Bad Kreuznach,Rheinland-Pfalz,37,0,0.0234058704453441
12060,Barnim,Brandenburg,37,0,0.0202451302254323
11010,Berlin Marzahn-Hellersdorf,Berlin,37,0,0.0137777976376663
05774,Paderborn,Nordrhein-Westfalen,36,0,0.0117305875069243
08128,Main-Tauber-Kreis,Baden-Württemberg,36,0,0.0272065658512254
09571,Ansbach,Bayern,36,0,0.0195706418626902
09776,Lindau (Bodensee),Bayern,36,0,0.0440803732138265
16076,Greiz,Thüringen,36,0,0.0366751902525494
03254,Hildesheim,Niedersachsen,35,0,0.0126539259709177
05116,Mönchengladbach,Nordrhein-Westfalen,35,0,0.0133866760500891
05758,Herford,Nordrhein-Westfalen,35,0,0.0139562889031553
06534,Marburg-Biedenkopf,Hessen,35,0,0.0141902630469333
08421,Ulm,Baden-Württemberg,35,0,0.0277054358065052
09279,Dingolfing-Landau,Bayern,35,0,0.0363761081721525
05911,Bochum,Nordrhein-Westfalen,34,0,0.00932457189244929
01058,Rendsburg-Eckernförde,Schleswig-Holstein,33,0,0.0120978828704977
07141,Rhein-Lahn-Kreis,Rheinland-Pfalz,33,0,0.0269810641985806
09183,Mühldorf a. Inn,Bayern,33,0,0.0286334056399132
13004,Schwerin,Mecklenburg-Vorpommern,33,0,0.0344402930555845
14521,Erzgebirgskreis,Sachsen,33,0,0.0097721027196058
12065,Oberhavel,Brandenburg,32,0,0.015148000700595
12067,Oder-Spree,Brandenburg,32,0,0.0179113165937154
11005,Berlin Spandau,Berlin,32,0,0.013115990441722
05962,Märkischer Kreis,Nordrhein-Westfalen,31,0,0.0075220809472969
06439,Rheingau-Taunus-Kreis,Hessen,31,0,0.0165636337406562
14729,Leipzig,Sachsen,31,0,0.0120265515221347
05382,Rhein-Sieg-Kreis,Nordrhein-Westfalen,30,0,0.00500183400580213
07337,Südliche Weinstraße,Rheinland-Pfalz,30,0,0.0271847475443111
08225,Neckar-Odenwald-Kreis,Baden-Württemberg,30,0,0.0209008255826105
09263,Straubing,Bayern,30,0,0.0627693852784868
09475,Hof,Bayern,30,0,0.0314759051945736
01060,Segeberg,Schleswig-Holstein,29,0,0.0105060282865755
03456,Grafschaft Bentheim,Niedersachsen,29,0,0.0212437092981518
05316,Leverkusen,Nordrhein-Westfalen,29,0,0.0177004113819749
06635,Waldeck-Frankenberg,Hessen,29,0,0.018476868871573
09278,Straubing-Bogen,Bayern,29,0,0.0288130036065932
10046,St. Wendel,Saarland,29,0,0.0331819169994393
15083,Börde,Sachsen-Anhalt,29,0,0.0168865804092375
03351,Celle,Niedersachsen,28,0,0.0156480529351276
03403,Oldenburg (Oldb),Niedersachsen,28,0,0.0166458593424886
07233,Vulkaneifel,Rheinland-Pfalz,28,0,0.0462023332178275
08236,Enzkreis,Baden-Württemberg,28,0,0.0140770719690304
09261,Landshut,Bayern,28,0,0.0386718965802994
09471,Bamberg,Bayern,28,0,0.0190364820581157
09676,Miltenberg,Bayern,28,0,0.0217465593836404
10045,Saarpfalz-Kreis,Saarland,28,0,0.0196310759932974
16051,Erfurt,Thüringen,28,0,0.0131025414250886
03151,Gifhorn,Niedersachsen,27,0,0.0153478854024557
09185,Neuburg-Schrobenhausen,Bayern,27,0,0.0279271824575921
09375,Regensburg,Bayern,27,0,0.0139482983076065
09473,Coburg,Bayern,27,0,0.0310680505373622
09374,Neustadt a.d. Waldnaab,Bayern,26,0,0.0275563846023402
09472,Bayreuth,Bayern,26,0,0.0250829667361272
01059,Schleswig-Flensburg,Schleswig-Holstein,25,0,0.0124984376952881
03101,Braunschweig,Niedersachsen,25,0,0.0100687899730962
03257,Schaumburg,Niedersachsen,25,0,0.0158447468326351
03361,Verden,Niedersachsen,25,0,0.0182759225685713
06632,Hersfeld-Rotenburg,Hessen,25,0,0.0206903971728641
07334,Germersheim,Rheinland-Pfalz,25,0,0.0193685841564982
09275,Passau,Bayern,25,0,0.0130179178621455
09276,Regen,Bayern,25,0,0.0321932625940043
10043,Neunkirchen,Saarland,25,0,0.0189098830612831
12071,Spree-Neiße,Brandenburg,25,0,0.0218476085607669
13075,Vorpommern-Greifswald,Mecklenburg-Vorpommern,25,0,0.0105620265571596
03357,Rotenburg (Wümme),Niedersachsen,24,0,0.0146829402587868
09176,Eichstätt,Bayern,24,0,0.0181349695105825
09180,Garmisch-Partenkirchen,Bayern,24,0,0.0271287598765641
09362,Regensburg,Bayern,24,0,0.0157263613131512
10044,Saarlouis,Saarland,24,0,0.0122950189804356
14522,Mittelsachsen,Sachsen,24,0,0.00783839835393635
03252,Hameln-Pyrmont,Niedersachsen,23,0,0.0154820643649998
03352,Cuxhaven,Niedersachsen,23,0,0.0116036788707098
03356,Osterholz,Niedersachsen,23,0,0.0202612824510866
03452,Aurich,Niedersachsen,23,0,0.0121149551219923
06411,Darmstadt,Hessen,23,0,0.0144466009660379
12064,Märkisch-Oderland,Brandenburg,23,0,0.0118356592976823
13003,Rostock,Mecklenburg-Vorpommern,23,0,0.0110107905747633
13071,Mecklenburgische Seenplatte,Mecklenburg-Vorpommern,23,0,0.00887585381854667
09563,Fürth,Bayern,22,0,0.0172214046403858
09778,Unterallgäu,Bayern,22,0,0.0152734290931054
12054,Potsdam,Brandenburg,22,0,0.0123533738748603
01003,Lübeck,Schleswig-Holstein,21,1,0.00966859731673404
